"","FC","log2(FC)","p.ajusted","-log10(p)"
"96323",10.933,3.4506,0.00051639,3.287
"116619",57.505,5.8456,0.00052486,3.28
"108447",18.157,4.1825,0.00052627,3.2788
"93652",0.013658,-6.1941,0.00052667,3.2785
"87970",0.018214,-5.7788,0.00054846,3.2609
"95417",0.065803,-3.9257,0.00054846,3.2609
"109764",127.31,6.9922,0.00055467,3.256
"94247",22.737,4.507,0.00055467,3.256
"88805",0.006291,-7.3125,0.00056652,3.2468
"111951",121.74,6.9277,0.00058625,3.2319
"122865",342.92,8.4217,0.00059044,3.2288
"87543",0.00078658,-10.312,0.00062088,3.207
"91737",0.0019726,-8.9857,0.0006233,3.2053
"95217",39.307,5.2967,0.0006233,3.2053
"120889",127.71,6.9967,0.00063045,3.2003
"85675",0.00035059,-11.478,0.00066405,3.1778
"115400",230.67,7.8497,0.00066405,3.1778
"117633",141.99,7.1497,0.00066405,3.1778
"118316",130.19,7.0245,0.00066405,3.1778
"79031",0.016983,-5.8798,0.00066405,3.1778
"115629",52.728,5.7205,0.00066405,3.1778
"97032",0.020111,-5.6358,0.00066405,3.1778
"105316",35.012,5.1298,0.00066405,3.1778
"89791",0.0044401,-7.8152,0.00067207,3.1726
"86753",0.070105,-3.8343,0.00067207,3.1726
"123327",418.09,8.7077,0.00071433,3.1461
"115445",432.48,8.7565,0.0007385,3.1316
"87154",267.05,8.061,0.0007385,3.1316
"91055",0.027396,-5.1899,0.00074425,3.1283
"115105",57.047,5.8341,0.00075345,3.1229
"112185",55.925,5.8054,0.00080337,3.0951
"126375",47.256,5.5624,0.00081727,3.0876
"97160",0.05453,-4.1968,0.00081727,3.0876
"127319",20.525,4.3593,0.00083671,3.0774
"122870",254.45,7.9913,0.00096139,3.0171
"85693",0.01548,-6.0134,0.00096216,3.0168
"80609",0.023008,-5.4417,0.00098182,3.008
"91758",0.0017753,-9.1378,0.0010061,2.9973
"93670",0.0085631,-6.8677,0.0010224,2.9904
"104776",65.113,6.0249,0.0010224,2.9904
"93640",0.0009459,-10.046,0.0010467,2.9802
"102164",0.0039871,-7.9705,0.001077,2.9678
"105102",42.466,5.4082,0.0011047,2.9568
"89438",20.535,4.36,0.0011778,2.9289
"91754",0.0017684,-9.1433,0.0011947,2.9228
"83946",0.042959,-4.5409,0.0012207,2.9134
"113658",40.844,5.352,0.0012322,2.9093
"95576",0.11803,-3.0827,0.0013107,2.8825
"123442",11.145,3.4783,0.0013121,2.882
"90842",100.76,6.6547,0.0013978,2.8545
"82364",0.042745,-4.5481,0.0014673,2.8335
"101064",11.834,3.5649,0.0015212,2.8178
"131657",74.479,6.2188,0.0016266,2.7887
"79615",8.5282,3.0922,0.0016453,2.7838
"94450",0.049171,-4.3461,0.0017025,2.7689
"93673",0.0074073,-7.0768,0.0017525,2.7563
"108389",7.0525,2.8181,0.0017733,2.7512
"91767",0.00086579,-10.174,0.0018131,2.7416
"91260",108.81,6.7657,0.0019086,2.7193
"101150",0.25117,-1.9932,0.0019786,2.7036
"104902",34.516,5.1092,0.0019806,2.7032
"123184",28.8,4.848,0.0019806,2.7032
"123273",6.1053,2.6101,0.0019949,2.7001
"85391",13.05,3.706,0.0020769,2.6826
"126000",119.98,6.9067,0.0021712,2.6633
"92040",7.3904,2.8856,0.0021712,2.6633
"77504",40.733,5.3481,0.0022047,2.6567
"92045",0.028035,-5.1566,0.0022272,2.6522
"79654",80.795,6.3362,0.0022724,2.6435
"119677",136.95,7.0975,0.0022756,2.6429
"88913",0.0048664,-7.6829,0.002368,2.6256
"102273",0.0034255,-8.1895,0.0023958,2.6205
"120269",308.07,8.2671,0.0024768,2.6061
"99314",31.68,4.9855,0.0024841,2.6048
"122821",132.44,7.0492,0.0024939,2.6031
"89838",0.0087117,-6.8428,0.0026201,2.5817
"86452",0.018688,-5.7417,0.0026264,2.5806
"126843",156.58,7.2907,0.0026382,2.5787
"125639",152.45,7.2522,0.0026382,2.5787
"122115",12.767,3.6743,0.0026518,2.5765
"124032",1200.2,10.229,0.0026745,2.5728
"90188",0.11354,-3.1387,0.0027774,2.5564
"92996",0.0072924,-7.0994,0.0028102,2.5513
"119130",20.979,4.3909,0.0028365,2.5472
"83993",142.08,7.1505,0.0029247,2.5339
"88901",37.697,5.2364,0.0029247,2.5339
"87456",0.024423,-5.3556,0.0029726,2.5269
"133988",19.848,4.3109,0.0030098,2.5215
"95204",32.895,5.0398,0.003018,2.5203
"87043",0.073206,-3.7719,0.0030224,2.5197
"120179",90.783,6.5044,0.0030304,2.5185
"102377",0.00015524,-12.653,0.0030387,2.5173
"84990",0.001323,-9.562,0.0030553,2.5149
"102947",0.001675,-9.2217,0.0032167,2.4926
"93595",0.015291,-6.0312,0.0032167,2.4926
"104831",0.046818,-4.4168,0.0032706,2.4854
"92476",0.18019,-2.4724,0.0032706,2.4854
"102397",0.059287,-4.0761,0.0033102,2.4802
"91802",12.461,3.6394,0.0033294,2.4776
"91766",0.0020668,-8.9184,0.0033513,2.4748
"88033",0.027177,-5.2015,0.0034412,2.4633
"101324",0.1853,-2.4321,0.0034412,2.4633
"82249",12.81,3.6792,0.0034485,2.4624
"93729",20.722,4.3731,0.0034665,2.4601
"96090",46.185,5.5293,0.0034878,2.4574
"105142",33.601,5.0704,0.0035654,2.4479
"108285",61.264,5.937,0.0038314,2.4166
"102638",0.15721,-2.6692,0.0040666,2.3908
"100717",0.14939,-2.7428,0.0042027,2.3765
"77258",0.11648,-3.1018,0.0042521,2.3714
"119493",268.45,8.0685,0.0043099,2.3655
"91801",0.00077782,-10.328,0.0044475,2.3519
"100680",0.25881,-1.95,0.0045343,2.3435
"86751",0.030474,-5.0363,0.0045562,2.3414
"117658",336.38,8.3939,0.0046297,2.3345
"100649",0.16844,-2.5697,0.0047667,2.3218
"90201",0.065733,-3.9272,0.0047768,2.3209
"99332",0.10928,-3.1939,0.0049108,2.3089
"88061",0.011688,-6.4188,0.0049543,2.305
"100509",0.036067,-4.7932,0.0050529,2.2965
"124081",27.012,4.7555,0.0050529,2.2965
"100644",0.16111,-2.6339,0.0053723,2.2698
"90067",9.8053,3.2936,0.0054011,2.2675
"124016",307.94,8.2665,0.0056738,2.2461
"90773",0.027337,-5.193,0.0058676,2.2315
"101869",24.619,4.6217,0.0060195,2.2204
"102393",0.0029314,-8.4142,0.006175,2.2094
"91697",0.0014508,-9.4289,0.0064862,2.188
"75261",0.16251,-2.6214,0.0065453,2.1841
"86147",19.109,4.2561,0.0067702,2.1694
"102424",0.06751,-3.8888,0.0067844,2.1685
"87491",0.0042093,-7.8922,0.006901,2.1611
"127029",156.56,7.2906,0.0069578,2.1575
"102307",0.0056423,-7.4695,0.0069778,2.1563
"87429",0.0058841,-7.409,0.0069962,2.1551
"127873",77.357,6.2735,0.0069962,2.1551
"86628",0.02565,-5.2849,0.0069962,2.1551
"85602",0.0115,-6.4423,0.0071077,2.1483
"98310",5.2364,2.3886,0.007292,2.1372
"89844",58.099,5.8604,0.007476,2.1263
"111178",395.44,8.6273,0.0075823,2.1202
"104745",95.912,6.5836,0.0075823,2.1202
"102883",0.028716,-5.122,0.0075823,2.1202
"90118",0.065174,-3.9395,0.0075823,2.1202
"118380",101.16,6.6605,0.0075842,2.1201
"85604",0.020494,-5.6086,0.0075842,2.1201
"104844",5.4782,2.4537,0.0075842,2.1201
"116387",23.211,4.5368,0.0076356,2.1172
"101404",0.026364,-5.2453,0.0076399,2.1169
"85937",19.861,4.3119,0.0077364,2.1115
"100676",0.18946,-2.4001,0.0077364,2.1115
"85439",0.01457,-6.1009,0.008032,2.0952
"119809",142.93,7.1592,0.0080793,2.0926
"105241",11.101,3.4726,0.0080793,2.0926
"118095",41.985,5.3918,0.0081038,2.0913
"86223",0.0072204,-7.1137,0.0082733,2.0823
"124337",122.42,6.9357,0.0082847,2.0817
"92951",0.014149,-6.1431,0.0083233,2.0797
"94303",9.7972,3.2924,0.0084337,2.074
"132673",63.716,5.9936,0.0086224,2.0644
"110029",718.5,9.4888,0.0088572,2.0527
"87397",0.002794,-8.4834,0.0088572,2.0527
"109529",49.85,5.6395,0.0088808,2.0515
"118586",321.41,8.3283,0.0088877,2.0512
"116634",68.389,6.0957,0.0089971,2.0459
"80898",19.695,4.2998,0.0091339,2.0393
"94184",0.038016,-4.7173,0.010129,1.9945
"101240",24.911,4.6387,0.010129,1.9945
"120218",130.86,7.0319,0.010258,1.9889
"102527",0.03851,-4.6986,0.010265,1.9887
